site,x,y,z,cpu_psi,fpga_psi,cpu_density,fpga_density,density_error
86,6,2,1,-30358.384857177734,-30358.384857177702,921631531.13651836,921631531.13651633,-2.0265579223632812e-06
87,7,2,1,12867.929489135742,12867.9294891357,165583609.33736923,165583609.33736816,-1.0728836059570312e-06
88,0,3,1,13511.765884399414,13511.7658843994,182567817.31481987,182567817.31481948,-3.8743019104003906e-07
89,1,3,1,9943.4304504394531,9943.4304504395004,98871809.122726545,98871809.122727484,9.3877315521240234e-07
90,2,3,1,22592.075088500977,22592.075088500998,510401856.80446643,510401856.80446738,9.5367431640625e-07
91,3,3,1,16021.205520629883,16021.205520629899,256679026.33426145,256679026.33426195,5.0663948059082031e-07
92,4,3,1,16021.20573425293,16021.205734252901,256679033.17925894,256679033.17925802,-9.2387199401855469e-07
93,5,3,1,22592.074813842773,22592.074813842799,510401844.39426899,510401844.39427012,1.1324882507324219e-06
94,6,3,1,9943.4306030273438,9943.4306030273001,98871812.157220721,98871812.157219857,-8.6426734924316406e-07
95,7,3,1,13511.765747070312,13511.7657470703,182567813.60370255,182567813.60370222,-3.2782554626464844e-07
96,0,4,1,13511.765670776367,13511.7656707764,182567811.54197073,182567811.54197162,8.9406967163085938e-07
97,1,4,1,9943.4304809570312,9943.4304809570003,98871809.729625374,98871809.729624763,-6.1094760894775391e-07
98,2,4,1,22592.074798583984,22592.074798583999,510401843.7048136,510401843.70481426,6.5565109252929688e-07
99,3,4,1,16021.205490112305,16021.205490112299,256679025.35640466,256679025.35640448,-1.7881393432617188e-07
100,4,4,1,16021.205780029297,16021.205780029301,256679034.64604416,256679034.64604425,8.9406967163085938e-08
101,5,4,1,22592.074798583984,22592.074798583999,510401843.7048136,510401843.70481426,6.5565109252929688e-07
102,6,4,1,9943.4301605224609,9943.4301605224991,98871803.357187733,98871803.357188493,7.5995922088623047e-07
103,7,4,1,13511.765655517578,13511.7656555176,182567811.12962437,182567811.12962496,5.9604644775390625e-07
104,0,5,1,12867.929412841797,12867.929412841801,165583607.37387905,165583607.37387913,8.9406967163085938e-08
105,1,5,1,-30358.385116577148,-30358.385116577101,921631546.88641298,921631546.88641,-2.9802322387695312e-06
106,2,5,1,-2255.0479888916016,-2255.0479888916002,5085241.4322040565,5085241.4322040509,-5.5879354476928711e-09
107,3,5,1,22592.074584960938,22592.074584960901,510401834.0524379,510401834.05243629,-1.6093254089355469e-06
108,4,5,1,22592.074722290039,22592.074722289999,510401840.25753653,510401840.25753474,-1.7881393432617188e-06
109,5,5,1,-2255.0478973388672,-2255.0478973388999,5085241.0192924459,5085241.0192925939,1.4808028936386108e-07
110,6,5,1,-30358.385162353516,-30358.385162353501,921631549.66580606,921631549.66580522,-8.3446502685546875e-07
111,7,5,1,12867.929351806641,12867.929351806601,165583605.80308688,165583605.80308583,-1.0430812835693359e-06
112,0,6,1,-15382.151702880859,-15382.151702880899,236610591.01044053,236610591.01044175,1.2218952178955078e-06
113,1,6,1,20105.670654296875,20105.6706542969,404237992.45905453,404237992.45905554,1.0132789611816406e-06
114,2,6,1,-30358.385238647461,-30358.385238647501,921631554.29812801,921631554.29813051,2.5033950805664062e-06
115,3,6,1,9943.4301605224609,9943.4301605224991,98871803.357187733,98871803.357188493,7.5995922088623047e-07
116,4,6,1,9943.43017578125,9943.4301757812009,98871803.66063714,98871803.660636157,-9.8347663879394531e-07
117,5,6,1,-30358.384918212891,-30358.384918212902,921631534.84237587,921631534.84237659,7.152557373046875e-07
118,6,6,1,20105.671035766602,20105.671035766602,404238007.79846406,404238007.79846406,0
119,7,6,1,-15382.151962280273,-15382.151962280301,236610598.99068287,236610598.9906837,8.3446502685546875e-07
120,0,7,1,-17319.604232788086,-17319.6042327881,299968690.78041101,299968690.78041148,4.76837158203125e-07
121,1,7,1,-15382.151916503906,-15382.151916503901,236610597.58240479,236610597.58240461,-1.7881393432617188e-07
122,2,7,1,12867.929138183594,12867.929138183599,165583600.30531436,165583600.30531451,1.4901161193847656e-07
123,3,7,1,13511.765579223633,13511.7655792236,182567809.06789255,182567809.06789166,-8.9406967163085938e-07
124,4,7,1,13511.765533447266,13511.7655334473,182567807.83085346,182567807.83085442,9.5367431640625e-07
125,5,7,1,12867.929321289062,12867.929321289101,165583605.01769078,165583605.01769176,9.8347663879394531e-07
126,6,7,1,-15382.15185546875,-15382.151855468799,236610595.70470071,236610595.70470223,1.5199184417724609e-06
127,7,7,1,-17319.604217529297,-17319.604217529301,299968690.25185859,299968690.25185871,1.1920928955078125e-07
128,0,0,2,-32336.57307434082,-32336.573074340798,1045653958.1921837,1045653958.1921823,-1.430511474609375e-06
129,1,0,2,12867.929412841797,12867.929412841801,165583607.37387905,165583607.37387913,8.9406967163085938e-08
130,2,0,2,18387.755401611328,18387.755401611299,338109548.7094866,338109548.70948553,-1.0728836059570312e-06
131,3,0,2,-6158.484619140625,-6158.4846191406004,37926932.804191649,37926932.804191343,-3.0547380447387695e-07
132,4,0,2,-6158.4844207763672,-6158.4844207763999,37926930.360945225,37926930.360945627,4.0233135223388672e-07
133,5,0,2,18387.755661010742,18387.755661010699,338109558.24903262,338109558.24903101,-1.6093254089355469e-06
134,6,0,2,12867.929458618164,12867.9294586182,165583608.55197316,165583608.55197409,9.2387199401855469e-07
135,7,0,2,-32336.572998046875,-32336.5729980469,1045653953.2580142,1045653953.2580159,1.6689300537109375e-06
136,0,1,2,12867.929458618164,12867.9294586182,165583608.55197316,165583608.55197409,9.2387199401855469e-07
137,1,1,2,-30358.384750366211,-30358.3847503662,921631524.65126777,921631524.65126705,-7.152557373046875e-07
138,2,1,2,-2255.0477905273438,-2255.0477905273001,5085240.5375622548,5085240.5375620583,-1.9650906324386597e-07
139,3,1,2,22592.074844360352,22592.074844360399,510401845.77317983,510401845.77318192,2.0861625671386719e-06
140,4,1,2,22592.074844360352,22592.074844360399,510401845.77317983,510401845.77318192,2.0861625671386719e-06
141,5,1,2,-2255.0472869873047,-2255.0472869873001,5085238.2665488031,5085238.2665487826,-2.0489096641540527e-08
142,6,1,2,-30358.384887695312,-30358.384887695302,921631532.98944712,921631532.98944652,-5.9604644775390625e-07
143,7,1,2,12867.929504394531,12867.9295043945,165583609.73006728,165583609.73006648,-8.0466270446777344e-07
144,0,2,2,18387.755508422852,18387.755508422899,338109552.63753492,338109552.63753664,1.7285346984863281e-06
145,1,2,2,-2255.0475921630859,-2255.0475921631,5085239.6429205313,5085239.6429205956,6.4261257648468018e-08
146,2,2,2,-3406.3334655761719,-3406.3334655762001,11603107.678704172,11603107.678704366,1.9371509552001953e-07
147,3,2,2,24282.918533325195,24282.918533325199,589660132.49610829,589660132.49610841,1.1920928955078125e-07
148,4,2,2,24282.918167114258,24282.918167114301,589660114.71076763,589660114.71076977,2.1457672119140625e-06
149,5,2,2,-3406.3333892822266,-3406.3333892822002,11603107.158938941,11603107.158938762,-1.7881393432617188e-07
