site,x,y,z,psi_q16,psi_hex,psi_float,psi_prev_q16,psi_prev_hex,psi_prev_float,m_prev_q16,m_prev_hex,m_prev_float
401,1,2,6,-228807142,0xF25CAE1A,-3491.3199157714844,-1872523681,0x90638E5F,-28572.44386291504,52951261,0x0327F8DD,807.9721221923828
402,2,2,6,1793783592,0x6AEAF728,27370.965454101562,962694739,0x39618E53,14689.555953979492,-5472236,0xFFAC8014,-83.49969482421875
403,3,2,6,2008675506,0x77B9F4B2,30649.955841064453,1887064530,0x707A51D2,28794.319610595703,2489172,0x0025FB54,37.98175048828125
404,4,2,6,1046008320,0x3E58D200,15960.8203125,-143543906,0xF771B19E,-2190.306182861328,57526935,0x036DCA97,877.7913665771484
405,5,2,6,-926626180,0xC8C4CE7C,-14139.193420410156,1058022503,0x3F102467,16144.142196655273,55480292,0x034E8FE4,846.5620727539062
406,6,2,6,-329764973,0xEC582F93,-5031.814163208008,-1532538252,0xA4A75274,-23384.67791748047,-35278421,0xFDE5B1AB,-538.3059844970703
407,7,2,6,1924250002,0x72B1B992,29361.724884033203,-624515023,0xDAC6A831,-9529.343002319336,-55802746,0xFCAC8486,-851.4823303222656
408,0,3,6,1827333302,0x6CEAE4B6,27882.89340209961,-818546960,0xCF35F6F0,-12490.035400390625,-86158954,0xFADD5196,-1314.6813049316406
409,1,3,6,-741310787,0xD3D07EBD,-11311.504928588867,1935729287,0x7360E287,29536.884872436523,-53333298,0xFCD232CE,-813.8015441894531
410,2,3,6,-773297117,0xD1E86C23,-11799.577590942383,413081071,0x189F1DEF,6303.116928100586,46558066,0x02C66B72,710.4197082519531
411,3,3,6,-405918886,0xE7CE2B5A,-6193.830657958984,841186566,0x32237D06,12835.488372802734,45136784,0x02B0BB90,688.732666015625
412,4,3,6,1905909188,0x7199DDC4,29081.866271972656,1542601457,0x5BF23AF1,23538.230239868164,18516079,0x011A886F,282.53294372558594
413,5,3,6,-779493743,0xD189DE91,-11894.130599975586,2072414721,0x7B868A01,31622.53907775879,-64095925,0xFC2DF94B,-978.0261993408203
