site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
45,5,5,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
46,6,5,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
47,7,5,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
48,0,6,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
49,1,6,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
50,2,6,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
51,3,6,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
52,4,6,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
53,5,6,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
54,6,6,0,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
55,7,6,0,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
56,0,7,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
57,1,7,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
58,2,7,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
59,3,7,0,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
60,4,7,0,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
